"Term","Repo","File","Ext","Bucket","Frequency","Context"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\ArgumentHandlerTests.cs",".cs","Overlap","2","using AuraDevStream.Core; // Assuming ProgramArguments is in the same namespace or accessible"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\BatchAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\CSharpAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\FileAggregatorTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\JavaAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\tests\AuraDevStream.Core.Tests\UnitTest1.cs",".cs","Code","1","namespace AuraDevStream.Core.NUnit;"
"Core","AuraSolutions.MediaAutomation","C:\gitx\AuraSolutions.MediaAutomation\src\AuraSolutions.Core\MediaAutomationClient.cs",".cs","Overlap","1","namespace AuraSolutions.Core"
"Core","AuraSolutions.MediaAutomation","C:\gitx\AuraSolutions.MediaAutomation\src\AuraSolutions.MediaAutomation\Program.cs",".cs","Code","1","using AuraSolutions.Core;"
"Core","AuraSolutions.txt","C:\gitx\AuraSolutions.txt",".txt","Overlap","1254","C:\GITX\AuraSolutions\src\AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\allAuraSolutions.cs",".cs","Overlap","12","namespace AuraDevStream.Core.Tests;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Console\Program.cs",".cs","Code","1","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Console\tests.txt",".txt","Code","1","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\ArgumentHandler.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\BatchAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\CSharpAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\FileAggregator.cs",".cs","Overlap","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\IFileAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\JavaAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\JavaScriptAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\PowershellAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\ProgramArguments.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\RoslynAnalysisException.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\RoslynAnalyzer.cs",".cs","Code","2","// This file is the core Roslyn-based analyzer. It has been updated to include"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryBatchFile.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryCSharp.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryJava.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryJavaScript.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryLanguage.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\SummaryPowershell.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\src\AuraDevStream.Core\tests.txt",".txt","Overlap","18","﻿namespace AuraDevStream.Core"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\ArgumentHandlerTests.cs",".cs","Overlap","2","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\BatchAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\CSharpAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\FileAggregatorTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\JavaAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\RoslynAnalyzerTests.cs",".cs","Code","2","// This file is the core Roslyn-based analyzer. It has been updated to correctly"
"Core","AuraSolutions","C:\gitx\AuraSolutions\tests\AuraDevStream.Core.MSTest\tests.txt",".txt","Overlap","12","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\allAuraSolutions.cs",".cs","Overlap","12","namespace AuraDevStream.Core.Tests;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Console\Program.cs",".cs","Code","1","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\ArgumentHandler.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\BatchAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\CSharpAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\FileAggregator.cs",".cs","Overlap","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\IFileAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\JavaAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\JavaScriptAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\PowershellAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\ProgramArguments.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryBatchFile.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryCSharp.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryJava.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryJavaScript.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryLanguage.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\src\AuraDevStream.Core\SummaryPowershell.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\tests\AuraDevStream.Core.MSTest\ArgumentHandlerTests.cs",".cs","Overlap","2","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\tests\AuraDevStream.Core.MSTest\BatchAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\tests\AuraDevStream.Core.MSTest\CSharpAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\tests\AuraDevStream.Core.MSTest\FileAggregatorTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions-behind","C:\gitx\AuraSolutions-behind\tests\AuraDevStream.Core.MSTest\JavaAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"BlueSand","BlueSand","C:\gitx\BlueSand\BlueSand.Cli\Program.cs",".cs","Overlap","3","var configPath = args.FirstOrDefault(a => a.StartsWith(""--config=""))?.Split('=')[1] ?? ""config/bluesand.yaml"";"
"Core","BlueSand","C:\gitx\BlueSand\BlueSand.Cli\Program.cs",".cs","Overlap","8",".WithNamingConvention(UnderscoredNamingConvention.Instance)"
"BlueSand","BlueSand","C:\gitx\BlueSand\BlueSand.Cli\tools\BlueSand.Scan\Program.cs",".cs","Overlap","11","internal sealed class BlueSandConfig"
"Core","BlueSand","C:\gitx\BlueSand\BlueSand.Cli\tools\BlueSand.Scan\Program.cs",".cs","Overlap","7","double score = max > 0 ? t.Total / max : 0.0;"
"BlueSand","BlueSand","C:\gitx\BlueSand\BlueSand.Scan.PS\BlueSand-QuickCheck.ps1",".ps1","Overlap","5","# Fast lint for BlueSand: validates config/bluesand.yaml; no slow scans here."
"BlueSand","BlueSand","C:\gitx\BlueSand\BlueSand.Scan.PS\BlueSand-Scan.ps1",".ps1","Overlap","12","# BlueSand-Scan.ps1"
"Core","BlueSand","C:\gitx\BlueSand\BlueSand.Scan.PS\BlueSand-Scan.ps1",".ps1","Overlap","8","$score = if ($maxTotal -gt 0) { $theValueR.Total / $maxTotal } else { 0 }"
"BlueSand","BlueSand","C:\gitx\BlueSand\BlueSand.Scan.PS\Test-BlueSand-Compare.ps1",".ps1","Code","5","[string]$ConfigPath = "".\config\bluesand.yaml"","
"coldFactor","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| coldFactor | Base | 454 | 0.234 |"
"Factor3Vec","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| Factor3Vec | Base | 245 | 0.126 |"
"AI-Joe","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| AI-Joe | Base | 773 | 0.398 |"
"Blueprint","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","2","| Superthinking-Blueprints | 779 |"
"hotFactor","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| hotFactor | Base | 323 | 0.166 |"
"AI-Jain","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| AI-Jain | Slopes | 1643 | 0.847 |"
"Gremisian","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| Gremisian | Base | 323 | 0.166 |"
"AI-Claud","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| AI-Claud | Base | 114 | 0.059 |"
"BlueSand","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","4","# BlueSand Summary"
"Core","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| Term | Tier | Total | Score |"
"SuperThinking","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","2","| Superthinking-Blueprints | 779 |"
"Iris","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| Iris | Crest | 1940 | 1 |"
"EWK","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| EWK | Base | 520 | 0.268 |"
"constFactor","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| constFactor | Base | 329 | 0.17 |"
"EWH","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| EWH | Base | 713 | 0.368 |"
"RainbowFactor","BlueSand","C:\gitx\BlueSand\docs\SUMMARY.md",".md","Overlap","1","| RainbowFactor | Base | 241 | 0.124 |"
"coldFactor","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| coldFactor | Base | 454 | A new tool to manage our `SuperScript` and `ColdFactor` data, integrating with our shared truth database. |"
"Factor3Vec","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","4","| Factor3Vec | Base | 245 | Factor3Vec Introduction and Documentation Plan |"
"AI-Joe","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| AI-Joe | Base | 773 | C:\TEST\Employment_History_Analyzer\ask4-AI-Jain-prompt-AI-DeepDive-AI-Joe-to-refactor-response-with-double-hash-for-persistance-in-obsidian.md |"
"Blueprint","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| Blueprint | Base | 663 | 09/16/2025 06:38 PM 918 006-Redundence-of-Framework-Blueprint.md |"
"hotFactor","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| hotFactor | Base | 323 | hotFactor reviewTheProjectAndNotes ""here is a new project with interface and new structure"" |"
"AI-Jain","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","4","| AI-Jain | Slopes | 1643 | 2025-09-16 .obsidian\snippets\ai-jain-styles-legacy.css |"
"Logos","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","1","| Gremissian | Base | 56 | **AI Agent Instruction: Finalize Gremissian Logos Rational** |"
"Gremisian","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","1","| Gremisian | Base | 323 | My grammar is not great. This could be a gerund like seeing or process of seeing and evaluating sorting valuations of content checking for errors by a combination of actors in my narrative story or stories. Where"
"AI-Claud","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| AI-Claud | Base | 114 | The two responses perfectly illustrate the collaboration you've established between your AI instances. AI-Hank provides a high-level, strategic document, while AI-Claud delivers a tactical, action-oriented confirma"
"Gremissian","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| Gremissian | Base | 56 | **AI Agent Instruction: Finalize Gremissian Logos Rational** |"
"Gremish","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| Gremish | Base | 109 | # gremish |"
"BlueSand","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","3","# BlueSand Word Map"
"Core","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","1","| RainbowFactor | Base | 241 | The test for **Factor3Vec** goes beyond just verifying C# classes; it tests the entire RainbowFactor protocol. The core hypothesis is that **Factor3Vec**, by incorporating human-curated feedback and vector emb"
"SuperThinking","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| SuperThinking | Slopes | 1191 | 2025-09-21 docs\pseudo-c\Introducing the Rainbow Factor\AI Feedback System Prototype\AI Feedback System Prototype Files\ClaudeanEpickion-SuperThinkingRainbowFactorTracker.html.md |"
"Iris","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","4","| Iris | Crest | 1940 | # also load the iris dataset |"
"EWK","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","1","| EWK | Base | 520 | src: local('Lato Regular'), local('Lato-Regular'), url('data:font/opentype;base64,AAEAAAASAQAABAAgRFNJRwAAAAEAAdV8AAAACEdQT1O20R0QAAGIuAAAS7RHU1VCVi5UBQAB1GwAAAEOT1MvMtmuqmkAAAGoAAAAYGNtYXBS1J/XAAAGXAAABOZjdnQgBvcYowAAE"
"BlueWording","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| BlueWording | Base | 109 | I wrote a note before seeing your answer ""BlueWording"" |"
"constFactor","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| constFactor | Base | 329 | You are not identifying AI-Hank. You are identifying **me** (AI-Jain) doing a repeated overwrite of a `constFactor`. |"
"Irisification","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","2","| Irisification | Base | 57 | public bool AnalyzeIrisification(AiTransaction transaction) |"
"EWH","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","1","| EWH | Base | 713 | ![Image preview](data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAABAQAAAQeCAYAAABPKugSAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsMAAA7DAcdvqGQAAP+lSURBVHherP33213VlaaNuvt0lQM55wzOCWMbMM455wC2yTmDyFESEpIIEgpkRM7Y"
"RainbowFactor","BlueSand","C:\gitx\BlueSand\docs\WORDMAP_TABLE.md",".md","Overlap","3","| SuperThinking | Slopes | 1191 | 2025-09-21 docs\pseudo-c\Introducing the Rainbow Factor\AI Feedback System Prototype\AI Feedback System Prototype Files\ClaudeanEpickion-SuperThinkingRainbowFactorTracker.html.md |"
"Core","BlueSand","C:\gitx\BlueSand\Hook-doesnot-run-Check-the-hooks-path.bat",".bat","Unknown","1","git config core.hooksPath"
"BlueSand","BlueSand","C:\gitx\BlueSand\Quick-sanity-test.bat",".bat","Unknown","1","pwsh -NoProfile -File scripts/BlueSand-QuickCheck.ps1"
"BlueSand","BlueSand","C:\gitx\BlueSand\Quick-sanity-test.ps1",".ps1","Code","3","if (-not (Test-Path 'config/bluesand.yaml')) { throw ""config/bluesand.yaml missing"" }"
"BlueSand","BlueSand","C:\gitx\BlueSand\README.md",".md","Overlap","4","# BlueSand"
"Iris","BlueSand","C:\gitx\BlueSand\README.md",".md","Overlap","1","- **Unicorn term**: rare/novel or domain-significant word/phrase (e.g., *BlueSand*, *Irisification*)."
"Irisification","BlueSand","C:\gitx\BlueSand\README.md",".md","Overlap","1","- **Unicorn term**: rare/novel or domain-significant word/phrase (e.g., *BlueSand*, *Irisification*)."
"BlueSand","BlueSand","C:\gitx\BlueSand\Run-these-from-the-repo-root.bat",".bat","Code","2","git add .githooks/pre-commit scripts/BlueSand-QuickCheck.ps1 .gitattributes"
"Core","BlueSand","C:\gitx\BlueSand\Run-these-from-the-repo-root.bat",".bat","Code","1","git config core.hooksPath .githooks"
"BlueSand","BlueSand","C:\gitx\BlueSand\scripts\BlueSand-QuickCheck.ps1",".ps1","Overlap","5","# Fast lint for BlueSand: validates config/bluesand.yaml; no slow scans here."
"BlueSand","BlueSand","C:\gitx\BlueSand\scripts\BlueSand-Scan.ps1",".ps1","Overlap","12","# BlueSand-Scan.ps1"
"Core","BlueSand","C:\gitx\BlueSand\scripts\BlueSand-Scan.ps1",".ps1","Overlap","8","$score = if ($maxTotal -gt 0) { $theValueR.Total / $maxTotal } else { 0 }"
"BlueSand","BlueSand","C:\gitx\BlueSand\scripts\commit.ps1",".ps1","Code","6","# pwsh -NoProfile -File scripts/commit.ps1 -Message ""chore(BlueSand): update scan"" -All -Push"
"coldFactor","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"Factor3Vec","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"AI-Joe","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"Blueprint","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","2","""C:\TEST\Superthinking-Blueprints\SuperThinking-Blueprints"""
"hotFactor","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"AI-Jain","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"BlueSand","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","3","Get-Content .\config\bluesand.yaml | more"
"SuperThinking","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","2","""C:\TEST\Superthinking-Blueprints\SuperThinking-Blueprints"""
"Iris","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","2","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"constFactor","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"Irisification","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"RainbowFactor","BlueSand","C:\gitx\BlueSand\Smoke-test-locally.ps1",".ps1","Code","1","-Terms @(""BlueSand"",""Essence64"",""Factor3Vec"",""hotFactor"",""coldFactor"",""constFactor"",""AI-Jain"",""AI-Joe"",""Iris"",""Irisification"",""RainbowFactor"") `"
"BlueSand","BlueSand","C:\gitx\BlueSand\src\BlueSand.Cli\Program.cs",".cs","Code","8","using BlueSand.Core.Scan;"
"Core","BlueSand","C:\gitx\BlueSand\src\BlueSand.Cli\Program.cs",".cs","Code","2","using BlueSand.Core.Scan;"
"BlueSand","BlueSand","C:\gitx\BlueSand\src\BlueSand.Core\BucketKind.cs",".cs","Overlap","1","namespace BlueSand.Core"
"Core","BlueSand","C:\gitx\BlueSand\src\BlueSand.Core\BucketKind.cs",".cs","Overlap","1","namespace BlueSand.Core"
"BlueSand","BlueSand","C:\gitx\BlueSand\src\BlueSand.Core\Config\ApplicationOptions.cs",".cs","Code","1","namespace BlueSand.Core.Config"
